what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1500258555734
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1500258555735
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1500258555736
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1500258555736
started,bundle,com.ibm.ccl.help.preferenceharvester,1.2.0.v20111020_0100,"com.ibm.ccl.help.preferenceharvester",1500258555736
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1500258555737
started,bundle,com.ibm.ut.common,1.0.0.v20111014_0104,"com.ibm.ut.common",1500258555737
started,bundle,com.ibm.ws.ast.st.common.core,6.2.1.v20111031_1843,"com.ibm.ws.ast.st.common.core",1500258555737
started,bundle,com.ibm.ws.ast.st.core,6.4.101.v20111103_0649,"com.ibm.ws.ast.st.core",1500258555737
started,bundle,com.python.pydev.analysis,2.2.1.2011071313,"com.python.pydev.analysis",1500258555758
started,bundle,org.apache.geronimo.st.v30.core,3.0.0,"org.apache.geronimo.st.v30.core",1500258555769
started,bundle,org.apache.geronimo.st.v30.ui,3.0.0,"org.apache.geronimo.st.v30.ui",1500258555782
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1500258555796
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1500258555801
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1500258555812
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1500258555817
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1500258555844
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1500258555846
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1500258555846
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1500258555847
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1500258555848
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1500258555848
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1500258555849
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1500258555857
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1500258555857
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1500258555858
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1500258555859
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1500258555860
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1500258555860
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1500258555861
started,bundle,org.eclipse.egit.core,0.11.1,"org.eclipse.egit.core",1500258555861
started,bundle,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui",1500258555884
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1500258555884
started,bundle,org.eclipse.emf.common.ui,2.6.0.v20100914-1218,"org.eclipse.emf.common.ui",1500258555884
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1500258555884
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1500258555885
started,bundle,org.eclipse.emf.edit,2.6.0.v20100914-1218,"org.eclipse.emf.edit",1500258555885
started,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1500258555885
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1500258555886
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1500258555886
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1500258555887
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1500258555887
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1500258555888
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1500258555889
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1500258555889
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1500258555890
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1500258555890
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1500258555891
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1500258555891
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1500258555892
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1500258555893
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1500258555893
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1500258555894
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1500258555894
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1500258555907
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1500258555907
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1500258555908
started,bundle,org.eclipse.help.base,3.5.3.v201102101200,"org.eclipse.help.base",1500258555908
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1500258555909
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1500258555909
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1500258555924
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1500258555925
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1500258555926
started,bundle,org.eclipse.jgit,0.11.1,"org.eclipse.jgit",1500258555926
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1500258555926
started,bundle,org.eclipse.jst.j2ee.ui,1.1.405.v201104141600,"org.eclipse.jst.j2ee.ui",1500258555935
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1500258555936
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1500258555936
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1500258555936
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1500258555937
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.bugzilla.core",1500258555937
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1500258555938
started,bundle,org.eclipse.mylyn.builds.ui,0.8.0.v20110608-1400,"org.eclipse.mylyn.builds.ui",1500258555951
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1500258555952
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1500258555952
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1500258555952
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1500258555953
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1500258555970
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1500258555971
started,bundle,org.eclipse.mylyn.tasks.tests,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.tests",1500258555999
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.1.v20110728-0200,"org.eclipse.mylyn.tasks.ui",1500258556013
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1500258556014
started,bundle,org.eclipse.mylyn.trac.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.trac.core",1500258556014
started,bundle,org.eclipse.mylyn.trac.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.trac.ui",1500258556015
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1500258556015
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1500258556016
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1500258556016
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1500258556023
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1500258556023
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1500258556025
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1500258556025
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1500258556026
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1500258556026
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1500258556038
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1500258556039
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1500258556039
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1500258556039
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1500258556040
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1500258556040
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1500258556041
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1500258556041
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1500258556042
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1500258556043
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1500258556044
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1500258556044
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1500258556045
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1500258556045
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1500258556046
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1500258556047
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1500258556047
started,bundle,org.eclipse.wst.server.core,1.1.207.v20110401_1511,"org.eclipse.wst.server.core",1500258556047
started,bundle,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui",1500258556048
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1500258556049
started,bundle,org.python.pydev,2.2.1.2011071313,"org.python.pydev",1500258556049
started,bundle,org.python.pydev.core,2.2.1.2011071313,"org.python.pydev.core",1500258556053
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1500258556053
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1500258556053
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1500258556053
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1500258556053
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1500258556065
started,bundle,org.zkoss.eclipse.pack,1.0.2.v201210091718,"org.zkoss.eclipse.pack",1500258556065
started,bundle,org.zkoss.eclipse.setting,1.0.2.v201210091718,"org.zkoss.eclipse.setting",1500258556065
os,sysinfo,,,"win32",1500258556067
arch,sysinfo,,,"x86",1500258556067
ws,sysinfo,,,"win32",1500258556067
locale,sysinfo,,,"th_TH",1500258556067
processors,sysinfo,,,"8",1500258556067
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1500258556067
java.runtime.version,sysinfo,,,"20111113_94967",1500258556067
java.specification.name,sysinfo,,,"Java Platform API Specification",1500258556067
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1500258556067
java.specification.version,sysinfo,,,"1.6",1500258556067
java.vendor,sysinfo,,,"IBM Corporation",1500258556067
java.version,sysinfo,,,"1.6.0",1500258556067
java.vm.info,sysinfo,,,"JRE 1.6.0 Windows Vista x86-32 20111113_94967 (JIT enabled, AOT enabled)\nJ9VM - R26_Java626_SR1_20111113_1649_B94967\nJIT  - r11_20111028_21230\nGC   - R26_Java626_SR1_20111113_1649_B94967\nJ9CL - 20111113_94967",1500258556067
java.vm.name,sysinfo,,,"IBM J9 VM",1500258556067
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1500258556067
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1500258556067
java.vm.specification.version,sysinfo,,,"1.0",1500258556067
java.vm.vendor,sysinfo,,,"IBM Corporation",1500258556067
java.vm.version,sysinfo,,,"2.6",1500258556067
started,bundle,org.zkoss.eclipse.services,1.0.2.v201210091718,"org.zkoss.eclipse.services",1500258556288
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1500258556334
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1500258560003
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1500258563653
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1500258563766
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1500258563780
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1500258578958
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1500258582736
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.linkWithEditor",1500258586703
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.collapseAll",1500258587504
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.linkWithEditor",1500258588591
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1500258595788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1500258602342
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1500258602586
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1500258603254
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1500258604341
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1500258604529
error,log,,,"null\n at [org.zkoss.eclipse.services.ServicesPlugin]",1500258609395
stopped,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1500258609569
stopped,bundle,org.eclipse.mylyn.hudson.ui,0.8.0.v20110608-1400,"org.eclipse.mylyn.hudson.ui",1500258609598
stopped,bundle,org.eclipse.mylyn.hudson.core,0.8.0.v20110608-1400,"org.eclipse.mylyn.hudson.core",1500258609625
stopped,bundle,com.ibm.ccl.help.preferenceharvester,1.2.0.v20111020_0100,"com.ibm.ccl.help.preferenceharvester",1500258609625
stopped,bundle,com.ibm.ut.common,1.0.0.v20111014_0104,"com.ibm.ut.common",1500258609625
stopped,bundle,com.ibm.ccl.ut.parser,2.0.0.v20111004_1945,"com.ibm.ccl.ut.parser",1500258609647
stopped,bundle,com.ibm.etools.javaee.core,1.0.102.v20111031_1843,"com.ibm.etools.javaee.core",1500258609736
stopped,bundle,com.ibm.etools.annotations.core,1.0.209.v20111031_1843,"com.ibm.etools.annotations.core",1500258609784
stopped,bundle,com.ibm.ws.ast.st.v7.ui,7.0.204.v20111031_1843,"com.ibm.ws.ast.st.v7.ui",1500258609809
stopped,bundle,com.ibm.ws.ast.st.v7.wdt,1.0.0.v20111021_1453,"com.ibm.ws.ast.st.v7.wdt",1500258609899
stopped,bundle,com.ibm.ws.ast.st.v7.core,7.0.303.v20111031_1843,"com.ibm.ws.ast.st.v7.core",1500258609969
stopped,bundle,com.ibm.etools.wrd.websphere.v7,2.0.102.v20111031_1843,"com.ibm.etools.wrd.websphere.v7",1500258610011
stopped,bundle,com.ibm.ws.ast.st.v8.ui,1.0.102.v20111031_1843,"com.ibm.ws.ast.st.v8.ui",1500258610149
stopped,bundle,com.ibm.ws.ast.st.v8.wdt,1.0.0.v20111021_1528,"com.ibm.ws.ast.st.v8.wdt",1500258610152
stopped,bundle,com.ibm.ws.ast.st.v8.core,1.0.102.v20111031_1843,"com.ibm.ws.ast.st.v8.core",1500258610317
stopped,bundle,com.ibm.etools.wrd.websphere.v8,1.0.101.v20111031_1843,"com.ibm.etools.wrd.websphere.v8",1500258610423
stopped,bundle,com.ibm.etools.j2ee,6.0.201.v20110201_0822,"com.ibm.etools.j2ee",1500258610616
stopped,bundle,com.ibm.etools.common.frameworks,1.0.200.v20100715_2051,"com.ibm.etools.common.frameworks",1500258610738
stopped,bundle,com.ibm.etools.wrd.websphere.core,2.0.102.v20111031_1843,"com.ibm.etools.wrd.websphere.core",1500258610811
stopped,bundle,com.ibm.etools.wrd.websphere.core.util,1.0.1.v20111031_1843,"com.ibm.etools.wrd.websphere.core.util",1500258610836
stopped,bundle,com.ibm.propertygroup,6.5.0.v20111031_1843,"com.ibm.propertygroup",1500258610912
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1500258610936
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1500258610969
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1500258611026
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1500258611054
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1500258611148
